"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"202870_s_at"	"0.0000037"	"1.66e-10"	"-36.884325"	"-0.41"	"-25.4355742"	"CDC20"	"cell division cycle 20"
"212023_s_at"	"0.00000495"	"4.45e-10"	"-32.741216"	"-0.424"	"-27.0874881"	"MKI67"	"marker of proliferation Ki-67"
"218585_s_at"	"0.00002104"	"3.23e-09"	"-25.737392"	"-0.462"	"-25.603012"	"DTL"	"denticleless E3 ubiquitin protein ligase homolog"
"214129_at"	"0.00002104"	"3.78e-09"	"25.247462"	"-0.466"	"24.9195384"	"LOC101930416///LOC101929792///LOC100996724///PDE4DIP"	"myomegalin-like///uncharacterized LOC101929792///phosphodiesterase 4D interacting protein-like///phosphodiesterase 4D interacting protein"
"203214_x_at"	"0.00002987"	"6.71e-09"	"-23.543077"	"-0.481"	"-25.1513292"	"CDK1"	"cyclin dependent kinase 1"
"206632_s_at"	"0.00003076"	"8.29e-09"	"-22.942029"	"-0.487"	"-25.9707341"	"APOBEC3B"	"apolipoprotein B mRNA editing enzyme catalytic subunit 3B"
"207828_s_at"	"0.00003826"	"1.33e-08"	"-21.657602"	"-0.502"	"-25.0202549"	"CENPF"	"centromere protein F"
"203755_at"	"0.00003826"	"1.44e-08"	"-21.444482"	"-0.505"	"-24.7040628"	"BUB1B"	"BUB1 mitotic checkpoint serine/threonine kinase B"
"202503_s_at"	"0.00003826"	"1.55e-08"	"-21.258793"	"-0.507"	"-25.2101317"	"KIAA0101"	"KIAA0101"
"212022_s_at"	"0.00003935"	"2.03e-08"	"-20.557045"	"-0.517"	"-26.8375159"	"MKI67"	"marker of proliferation Ki-67"
"200951_s_at"	"0.00009866"	"6.20e-08"	"-17.926695"	"-0.564"	"-25.6871752"	"CCND2"	"cyclin D2"
"214228_x_at"	"0.00021274"	"1.62e-07"	"-15.917163"	"-0.615"	"-27.0589333"	"TNFRSF4"	"TNF receptor superfamily member 4"
"202095_s_at"	"0.00023389"	"1.89e-07"	"-15.620149"	"-0.625"	"-25.0236417"	"BIRC5"	"baculoviral IAP repeat containing 5"
"214219_x_at"	"0.00047239"	"4.67e-07"	"13.958219"	"-0.686"	"22.3852359"	"MAP4K1"	"mitogen-activated protein kinase kinase kinase kinase 1"
"200670_at"	"0.00003935"	"2.04e-08"	"20.551028"	"-1.119"	"23.9636865"	"XBP1"	"X-box binding protein 1"
"215528_at"	"0.00003935"	"2.12e-08"	"20.452731"	"-1.12"	"25.3345568"	""	""
"218553_s_at"	"0.00004371"	"2.55e-08"	"19.993947"	"-1.126"	"25.5130035"	"KCTD15"	"potassium channel tetramerization domain containing 15"
"202842_s_at"	"0.00013657"	"9.81e-08"	"16.94083"	"-1.174"	"26.594717"	"DNAJB9"	"DnaJ heat shock protein family (Hsp40) member B9"
"210678_s_at"	"0.00030815"	"2.77e-07"	"14.897902"	"-1.223"	"25.7615333"	"AGPAT2"	"1-acylglycerol-3-phosphate O-acyltransferase 2"
"222084_s_at"	"0.00057389"	"5.93e-07"	"13.546879"	"-1.267"	"20.8476377"	"SBF1"	"SET binding factor 1"
"221477_s_at"	"0.00126708"	"1.42e-06"	"12.133838"	"-1.328"	"26.0961693"	"LOC100129518///SOD2"	"uncharacterized LOC100129518///superoxide dismutase 2, mitochondrial"
"207325_x_at"	"0.07211646"	"9.72e-05"	"-6.965539"	"-1.433"	"-5.952449"	"MAGEA1"	"MAGE family member A1"
"217278_x_at"	"0.0003653"	"3.44e-07"	"17.255736"	"-1.637"	"25.3274915"	""	""
"203128_at"	"0.09987025"	"1.39e-04"	"6.62551"	"-1.92"	"19.4899014"	"SPTLC2"	"serine palmitoyltransferase long chain base subunit 2"
"205273_s_at"	"0.43270632"	"6.22e-04"	"-5.327267"	"-2.261"	"-5.1142486"	"PITRM1"	"pitrilysin metallopeptidase 1"
"218384_at"	"0.96454816"	"2.25e-03"	"-4.344233"	"-2.268"	"-21.429577"	"CARHSP1"	"calcium regulated heat stable protein 1"
"200744_s_at"	"0.00013657"	"9.38e-08"	"17.035642"	"-2.284"	"25.0199274"	"GNB1"	"G protein subunit beta 1"
"207630_s_at"	"0.00025269"	"2.16e-07"	"15.367521"	"-2.306"	"21.3444065"	"CREM"	"cAMP responsive element modulator"
"209408_at"	"0.96454816"	"2.09e-03"	"-4.398135"	"-2.347"	"-24.3137324"	"KIF2C"	"kinesin family member 2C"
